robo,data,ativo,lado,resultado,resultado_pct,hora,estrategia,lote,resultado_bruto,custos
alaska-&-square,16/05/2018,WIN,V,"80,00",,14:12:40,Reversao,4,"R$80,00",0
alaska-&-square,18/05/2018,WIN,V,"-920,00",,11:04:40,Reversao,16,"-R$920,00",0
alaska-&-square,18/05/2018,WIN,V,"264,00",,12:05:40,Reversao,16,"R$264,00",0
alaska-&-square,21/05/2018,WIN,V,"80,00",,10:01:40,Reversao,4,"R$80,00",0
alaska-&-square,21/05/2018,WIN,V,"264,00",,12:07:40,Reversao,16,"R$264,00",0
alaska-&-square,22/05/2018,WIN,V,"80,00",,10:15:40,Reversao,4,"R$80,00",0
alaska-&-square,22/05/2018,WIN,V,"80,00",,13:22:40,Reversao,4,"R$80,00",0
alaska-&-square,23/05/2018,WIN,V,"80,00",,11:24:40,Reversao,4,"R$80,00",0
alaska-&-square,23/05/2018,WIN,V,"80,00",,15:35:40,Reversao,4,"R$80,00",0
alaska-&-square,24/05/2018,WIN,V,"80,00",,11:25:40,Reversao,4,"R$80,00",0
alaska-&-square,24/05/2018,WIN,V,"264,00",,13:05:40,Reversao,16,"R$264,00",0
alaska-&-square,24/05/2018,WIN,V,"-920,00",,15:35:20,Reversao,16,"-R$920,00",0
alaska-&-square,25/05/2018,WIN,V,"264,00",,10:02:40,Reversao,16,"R$264,00",0
alaska-&-square,25/05/2018,WIN,V,"80,00",,12:05:40,Reversao,4,"R$80,00",0
alaska-&-square,28/05/2018,WIN,V,"264,00",,14:32:40,Reversao,16,"R$264,00",0
alaska-&-square,28/05/2018,WIN,V,"80,00",,15:16:40,Reversao,4,"R$80,00",0
alaska-&-square,29/05/2018,WIN,V,"-920,00",,10:01:40,Reversao,16,"-R$920,00",0
alaska-&-square,29/05/2018,WIN,V,"264,00",,11:05:40,Reversao,16,"R$264,00",0
alaska-&-square,29/05/2018,WIN,V,"80,00",,14:05:20,Reversao,4,"R$80,00",0
alaska-&-square,30/05/2018,WIN,V,"80,00",,11:03:40,Reversao,4,"R$80,00",0
alaska-&-square,30/05/2018,WIN,V,"80,00",,13:05:40,Reversao,4,"R$80,00",0
alaska-&-square,30/05/2018,WIN,V,"80,00",,15:30:40,Reversao,4,"R$80,00",0
alaska-&-square,30/05/2018,WIN,V,"80,00",,16:06:40,Reversao,4,"R$80,00",0
alaska-&-square,01/06/2018,WIN,V,"264,00",,11:15:40,Reversao,16,"R$264,00",0
alaska-&-square,01/06/2018,WIN,V,"264,00",,15:32:40,Reversao,16,"R$264,00",0
alaska-&-square,04/06/2018,WIN,V,"80,00",,11:07:40,Reversao,4,"R$80,00",0
alaska-&-square,04/06/2018,WIN,V,"80,00",,12:12:40,Reversao,4,"R$80,00",0
alaska-&-square,04/06/2018,WIN,V,"-376,00",,16:31:40,Reversao,16,"-R$376,00",0
alaska-&-square,05/06/2018,WIN,V,"264,00",,11:06:40,Reversao,16,"R$264,00",0
alaska-&-square,06/06/2018,WIN,V,"80,00",,11:03:20,Reversao,4,"R$80,00",0
alaska-&-square,06/06/2018,WIN,V,"80,00",,15:19:40,Reversao,4,"R$80,00",0
alaska-&-square,08/06/2018,WIN,V,"80,00",,13:01:40,Reversao,4,"R$80,00",0
alaska-&-square,08/06/2018,WIN,V,"80,00",,14:06:40,Reversao,4,"R$80,00",0
alaska-&-square,08/06/2018,WIN,V,"80,00",,16:06:40,Reversao,4,"R$80,00",0
alaska-&-square,11/06/2018,WIN,V,"80,00",,10:01:40,Reversao,4,"R$80,00",0
alaska-&-square,11/06/2018,WIN,V,"80,00",,11:03:40,Reversao,4,"R$80,00",0
alaska-&-square,11/06/2018,WIN,V,"-360,00",,16:43:40,Reversao,16,"-R$360,00",0
alaska-&-square,12/06/2018,WIN,V,"80,00",,12:39:40,Reversao,4,"R$80,00",0
alaska-&-square,13/06/2018,WIN,V,"264,00",,13:02:40,Reversao,16,"R$264,00",0
alaska-&-square,13/06/2018,WIN,V,"80,00",,15:02:40,Reversao,4,"R$80,00",0
alaska-&-square,15/06/2018,WIN,V,"264,00",,16:02:40,Reversao,16,"R$264,00",0
alaska-&-square,18/06/2018,WIN,V,"264,00",,11:08:20,Reversao,16,"R$264,00",0
alaska-&-square,18/06/2018,WIN,V,"264,00",,12:27:20,Reversao,16,"R$264,00",0
alaska-&-square,18/06/2018,WIN,V,"80,00",,16:32:40,Reversao,4,"R$80,00",0
alaska-&-square,19/06/2018,WIN,V,"264,00",,13:10:40,Reversao,16,"R$264,00",0
alaska-&-square,19/06/2018,WIN,V,"264,00",,14:06:40,Reversao,16,"R$264,00",0
alaska-&-square,19/06/2018,WIN,V,"264,00",,16:06:40,Reversao,16,"R$264,00",0
alaska-&-square,20/06/2018,WIN,V,"264,00",,10:04:40,Reversao,16,"R$264,00",0
alaska-&-square,20/06/2018,WIN,V,"-920,00",,13:16:40,Reversao,16,"-R$920,00",0
alaska-&-square,21/06/2018,WIN,V,"80,00",,14:32:40,Reversao,4,"R$80,00",0
alaska-&-square,22/06/2018,WIN,V,"80,00",,11:02:40,Reversao,4,"R$80,00",0
alaska-&-square,22/06/2018,WIN,V,"80,00",,15:14:40,Reversao,4,"R$80,00",0
alaska-&-square,22/06/2018,WIN,V,"264,00",,16:13:20,Reversao,16,"R$264,00",0
alaska-&-square,25/06/2018,WIN,V,"-920,00",,10:07:40,Reversao,16,"-R$920,00",0
alaska-&-square,25/06/2018,WIN,V,"264,00",,15:40:40,Reversao,16,"R$264,00",0
alaska-&-square,26/06/2018,WIN,V,"-920,00",,10:05:40,Reversao,16,"-R$920,00",0
alaska-&-square,26/06/2018,WIN,V,"-920,00",,14:14:40,Reversao,16,"-R$920,00",0
alaska-&-square,27/06/2018,WIN,V,"-920,00",,11:01:40,Reversao,16,"-R$920,00",0
alaska-&-square,27/06/2018,WIN,V,"80,00",,12:03:40,Reversao,4,"R$80,00",0
alaska-&-square,28/06/2018,WIN,V,"80,00",,13:11:40,Reversao,4,"R$80,00",0
alaska-&-square,28/06/2018,WIN,V,"80,00",,16:03:40,Reversao,4,"R$80,00",0
alaska-&-square,29/06/2018,WIN,V,"80,00",,12:51:40,Reversao,4,"R$80,00",0
alaska-&-square,29/06/2018,WIN,V,"264,00",,16:38:40,Reversao,16,"R$264,00",0
alaska-&-square,02/07/2018,WIN,V,"-920,00",,10:24:40,Reversao,16,"-R$920,00",0
alaska-&-square,02/07/2018,WIN,V,"264,00",,11:22:40,Reversao,16,"R$264,00",0
alaska-&-square,02/07/2018,WIN,V,"264,00",,13:26:40,Reversao,16,"R$264,00",0
alaska-&-square,03/07/2018,WIN,V,"80,00",,10:17:40,Reversao,4,"R$80,00",0
alaska-&-square,03/07/2018,WIN,V,"80,00",,13:39:40,Reversao,4,"R$80,00",0
alaska-&-square,04/07/2018,WIN,V,"-920,00",,10:17:40,Reversao,16,"-R$920,00",0
alaska-&-square,04/07/2018,WIN,V,"264,00",,12:55:40,Reversao,16,"R$264,00",0
alaska-&-square,05/07/2018,WIN,V,"80,00",,14:36:40,Reversao,4,"R$80,00",0
alaska-&-square,05/07/2018,WIN,V,"-632,00",,16:17:40,Reversao,16,"-R$632,00",0
alaska-&-square,06/07/2018,WIN,V,"-920,00",,10:05:40,Reversao,16,"-R$920,00",0
alaska-&-square,06/07/2018,WIN,V,"264,00",,11:07:40,Reversao,16,"R$264,00",0
alaska-&-square,06/07/2018,WIN,V,"80,00",,12:32:40,Reversao,4,"R$80,00",0
alaska-&-square,10/07/2018,WIN,V,"80,00",,10:11:40,Reversao,4,"R$80,00",0
alaska-&-square,10/07/2018,WIN,V,"80,00",,13:06:40,Reversao,4,"R$80,00",0
alaska-&-square,11/07/2018,WIN,V,"80,00",,12:10:40,Reversao,4,"R$80,00",0
alaska-&-square,11/07/2018,WIN,V,"80,00",,14:02:40,Reversao,4,"R$80,00",0
alaska-&-square,12/07/2018,WIN,V,"80,00",,14:44:40,Reversao,4,"R$80,00",0
alaska-&-square,16/07/2018,WIN,V,"264,00",,10:35:40,Reversao,16,"R$264,00",0
alaska-&-square,16/07/2018,WIN,V,"80,00",,11:14:40,Reversao,4,"R$80,00",0
alaska-&-square,16/07/2018,WIN,V,"80,00",,13:24:40,Reversao,4,"R$80,00",0
alaska-&-square,17/07/2018,WIN,V,"-920,00",,12:28:40,Reversao,16,"-R$920,00",0
alaska-&-square,17/07/2018,WIN,V,"264,00",,15:20:40,Reversao,16,"R$264,00",0
alaska-&-square,18/07/2018,WIN,V,"80,00",,10:36:20,Reversao,4,"R$80,00",0
alaska-&-square,19/07/2018,WIN,V,"80,00",,12:08:40,Reversao,4,"R$80,00",0
alaska-&-square,19/07/2018,WIN,V,"-920,00",,16:15:40,Reversao,16,"-R$920,00",0
alaska-&-square,20/07/2018,WIN,V,"80,00",,10:00:40,Reversao,4,"R$80,00",0
alaska-&-square,20/07/2018,WIN,V,"264,00",,12:17:40,Reversao,16,"R$264,00",0
alaska-&-square,20/07/2018,WIN,V,"264,00",,14:23:40,Reversao,16,"R$264,00",0
alaska-&-square,23/07/2018,WIN,V,"264,00",,11:17:40,Reversao,16,"R$264,00",0
alaska-&-square,24/07/2018,WIN,V,"264,00",,10:32:20,Reversao,16,"R$264,00",0
alaska-&-square,24/07/2018,WIN,V,"80,00",,12:05:40,Reversao,4,"R$80,00",0
alaska-&-square,25/07/2018,WIN,V,"264,00",,11:13:40,Reversao,16,"R$264,00",0
alaska-&-square,26/07/2018,WIN,V,"80,00",,10:32:40,Reversao,4,"R$80,00",0
alaska-&-square,26/07/2018,WIN,V,"264,00",,16:14:20,Reversao,16,"R$264,00",0
alaska-&-square,27/07/2018,WIN,V,"264,00",,11:15:20,Reversao,16,"R$264,00",0
alaska-&-square,27/07/2018,WIN,V,"80,00",,13:02:40,Reversao,4,"R$80,00",0
alaska-&-square,27/07/2018,WIN,V,"-920,00",,15:17:40,Reversao,16,"-R$920,00",0
alaska-&-square,30/07/2018,WIN,V,"264,00",,10:39:20,Reversao,16,"R$264,00",0
alaska-&-square,30/07/2018,WIN,V,"264,00",,13:12:40,Reversao,16,"R$264,00",0
alaska-&-square,01/08/2018,WIN,V,"80,00",,12:19:40,Reversao,4,"R$80,00",0
alaska-&-square,03/08/2018,WIN,V,"80,00",,12:13:40,Reversao,4,"R$80,00",0
alaska-&-square,06/08/2018,WIN,V,"80,00",,10:08:20,Reversao,4,"R$80,00",0
alaska-&-square,07/08/2018,WIN,V,"80,00",,11:10:40,Reversao,4,"R$80,00",0
alaska-&-square,08/08/2018,WIN,V,"80,00",,11:19:40,Reversao,4,"R$80,00",0
alaska-&-square,08/08/2018,WIN,V,"80,00",,15:39:40,Reversao,4,"R$80,00",0
alaska-&-square,09/08/2018,WIN,V,"80,00",,10:40:40,Reversao,4,"R$80,00",0
alaska-&-square,09/08/2018,WIN,V,"80,00",,12:07:20,Reversao,4,"R$80,00",0
alaska-&-square,10/08/2018,WIN,V,"80,00",,10:09:40,Reversao,4,"R$80,00",0
alaska-&-square,13/08/2018,WIN,V,"80,00",,12:49:40,Reversao,4,"R$80,00",0
alaska-&-square,14/08/2018,WIN,V,"80,00",,10:07:40,Reversao,4,"R$80,00",0
alaska-&-square,14/08/2018,WIN,V,"264,00",,14:13:40,Reversao,16,"R$264,00",0
alaska-&-square,15/08/2018,WIN,V,"264,00",,11:05:40,Reversao,16,"R$264,00",0
alaska-&-square,16/08/2018,WIN,V,"264,00",,10:40:40,Reversao,16,"R$264,00",0
alaska-&-square,16/08/2018,WIN,V,"80,00",,13:41:40,Reversao,4,"R$80,00",0
alaska-&-square,16/08/2018,WIN,V,"80,00",,15:11:40,Reversao,4,"R$80,00",0
alaska-&-square,17/08/2018,WIN,V,"80,00",,11:12:40,Reversao,4,"R$80,00",0
alaska-&-square,17/08/2018,WIN,V,"80,00",,16:41:40,Reversao,4,"R$80,00",0
alaska-&-square,20/08/2018,WIN,V,"264,00",,14:06:40,Reversao,16,"R$264,00",0
alaska-&-square,21/08/2018,WIN,V,"80,00",,11:47:40,Reversao,4,"R$80,00",0
alaska-&-square,21/08/2018,WIN,V,"264,00",,14:07:40,Reversao,16,"R$264,00",0
alaska-&-square,22/08/2018,WIN,V,"-920,00",,12:12:20,Reversao,16,"-R$920,00",0
alaska-&-square,22/08/2018,WIN,V,"264,00",,13:13:40,Reversao,16,"R$264,00",0
alaska-&-square,23/08/2018,WIN,V,"80,00",,11:04:40,Reversao,4,"R$80,00",0
alaska-&-square,23/08/2018,WIN,V,"80,00",,16:30:40,Reversao,4,"R$80,00",0
alaska-&-square,24/08/2018,WIN,V,"264,00",,10:48:40,Reversao,16,"R$264,00",0
alaska-&-square,24/08/2018,WIN,V,"-920,00",,12:51:20,Reversao,16,"-R$920,00",0
alaska-&-square,24/08/2018,WIN,V,"-40,00",,16:23:40,Reversao,16,"-R$40,00",0
alaska-&-square,27/08/2018,WIN,V,"264,00",,16:13:20,Reversao,16,"R$264,00",0
alaska-&-square,28/08/2018,WIN,V,"80,00",,11:12:40,Reversao,4,"R$80,00",0
alaska-&-square,28/08/2018,WIN,V,"264,00",,13:28:40,Reversao,16,"R$264,00",0
alaska-&-square,28/08/2018,WIN,V,"80,00",,16:08:40,Reversao,4,"R$80,00",0
alaska-&-square,29/08/2018,WIN,V,"-920,00",,10:12:20,Reversao,16,"-R$920,00",0
alaska-&-square,29/08/2018,WIN,V,"80,00",,14:35:40,Reversao,4,"R$80,00",0
alaska-&-square,30/08/2018,WIN,V,"80,00",,15:18:40,Reversao,4,"R$80,00",0
alaska-&-square,31/08/2018,WIN,V,"80,00",,12:10:40,Reversao,4,"R$80,00",0
alaska-&-square,31/08/2018,WIN,V,"-920,00",,14:31:40,Reversao,16,"-R$920,00",0
alaska-&-square,31/08/2018,WIN,V,"80,00",,15:18:40,Reversao,4,"R$80,00",0
alaska-&-square,03/09/2018,WIN,V,"80,00",,11:08:20,Reversao,4,"R$80,00",0
alaska-&-square,04/09/2018,WIN,V,"80,00",,10:37:40,Reversao,4,"R$80,00",0
alaska-&-square,05/09/2018,WIN,V,"40,00",,16:59:20,Reversao,16,"R$40,00",0
alaska-&-square,06/09/2018,WIN,V,"80,00",,11:06:40,Reversao,4,"R$80,00",0
alaska-&-square,06/09/2018,WIN,V,"-920,00",,15:32:40,Reversao,16,"-R$920,00",0
alaska-&-square,10/09/2018,WIN,V,"80,00",,14:35:40,Reversao,4,"R$80,00",0
alaska-&-square,10/09/2018,WIN,V,"80,00",,16:29:40,Reversao,4,"R$80,00",0
alaska-&-square,11/09/2018,WIN,V,"264,00",,13:54:40,Reversao,16,"R$264,00",0
